,α_v,α_θ,α_a,β2,β3,β4,β5,β6,loss
0,0.0,0.021075095312034484,0.012773559343106432,6.575985651594977,6.207805141759505,5.748335393266396,5.333278526085074,5.030335408296262,26097.621868147093
1,0.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58324.227793101185
2,0.10584069695065981,0.7378494666801182,0.400957269055586,6.871961819042004,5.769187344484445,2.7416104242279395,6.6803410618909975,3.9562833040461602,282971.71665530646
3,0.0,0.02108003515374749,0.012769037699214565,6.575246839202602,6.207546673738465,5.747745877589315,5.33293463104108,5.030167925307579,26097.6219245399
4,0.0,0.02107393206659834,0.012775640748719638,6.575952202527993,6.207916992297096,5.747948713553855,5.333183668835932,5.030696832124258,26097.621970915974
5,0.1409339386868121,0.3090817471823057,0.3880144398795359,1.9019131070253112,7.399911381926288,9.212167782128581,3.8054187299858655,1.2743173565924348,144495.51285334642
6,0.0,0.021076818042366698,0.012773326682305389,6.575724853368288,6.2077863926708625,5.748376099419445,5.332884810165303,5.029975828200972,26097.621901331586
7,0.0,0.0019387150334157204,0.006566916992940092,14.999889321147874,14.999414287018709,0.0,0.0,10.0,38316.2297508694
8,0.17794692325673145,0.135904299642907,0.012713081306577476,2.9623793953303403,3.4374734015288935,3.3571392109102858,3.478913257371613,5.070347986759782,81671.19970941803
9,0.7418488384330473,0.6981777731755766,0.22681915413507908,14.283576607021502,12.601512373609962,0.7758451460815021,3.845640892371637,1.951244619395682,182935.2730311593
